"booker_ip_ufi","hotel_ufi","check_month","book_count","from_lat","from_lon","to_lat","to_lon","distance"
20019371,20015732,12,3329,41.0936,-73.4192,37.775,-122.418,4168.8
-785169,-782831,2,3323,25.2867,51.5333,25.2703,55.3075,379.477
-2960561,-2996338,10,3321,55.7522,37.6156,59.9391,30.3157,634.407
-126693,-126693,6,3318,41.8959,12.4826,41.8959,12.4826,0
408663,900040280,6,3305,24.6556,46.6983,24.6399,46.7246,3.18002
-372490,-372490,8,3300,41.3871,2.17001,41.3871,2.17001,0
-782066,-782831,7,3295,24.4667,54.3667,25.2703,55.3075,130.355
-372490,-372490,5,3291,41.3871,2.17001,41.3871,2.17001,0
-782499,-782066,3,3283,25.2625,55.2944,24.4667,54.3667,128.801
-789552,-782831,1,3278,29.3697,47.9783,25.2703,55.3075,855.278
-782499,-782066,10,3273,25.2625,55.2944,24.4667,54.3667,128.801
-2880493,-1364995,1,3253,59.8667,30.25,60.1756,24.9342,297.264
-126693,-126693,2,3243,41.8959,12.4826,41.8959,12.4826,0
-372490,-372490,7,3219,41.3871,2.17001,41.3871,2.17001,0
-126693,-126693,1,3214,41.8959,12.4826,41.8959,12.4826,0
-126693,-126693,4,3206,41.8959,12.4826,41.8959,12.4826,0
20019371,20088325,8,3201,41.0936,-73.4192,40.7681,-73.9819,59.536
-2403010,-2403010,12,3191,3.14526,101.697,3.14526,101.697,0
-3096108,-782831,12,3183,21.5465,39.1759,25.2703,55.3075,1696.12
-1354207,-1353149,9,3165,22.2833,114.15,22.2832,114.173,2.36652
419198,-1502554,12,3153,53.3267,-6.24472,53.3467,-6.259,2.41758
-2960561,-2996338,12,3152,55.7522,37.6156,59.9391,30.3157,634.407
-1603135,-1603135,3,3140,-33.8705,151.209,-33.8705,151.209,0
20019371,20088325,4,3138,41.0936,-73.4192,40.7681,-73.9819,59.536
20019371,20014181,3,3123,41.0936,-73.4192,34.0522,-118.243,3982.25
-126693,-126693,7,3110,41.8959,12.4826,41.8959,12.4826,0
408663,-784833,8,3103,24.6556,46.6983,26.2361,50.5831,427.796
-782499,-782066,12,3090,25.2625,55.2944,24.4667,54.3667,128.801
-2960561,-372490,7,3088,55.7522,37.6156,41.3871,2.17001,3009.62
-381535,-372490,6,3082,40.4,-3.68333,41.3871,2.17001,503.989
20019371,20014181,12,3062,41.0936,-73.4192,34.0522,-118.243,3982.25
-2608431,-2595386,8,3043,51.5167,-0.0833333,55.95,-3.2,533.753
-2880493,-2996338,9,3043,59.8667,30.25,59.9391,30.3157,8.84487
408663,-3092186,8,3038,24.6556,46.6983,24.4686,39.6142,716.658
-126693,-126693,10,3035,41.8959,12.4826,41.8959,12.4826,0
-2403009,-2403010,9,3032,3.18333,101.7,3.14526,101.697,4.24627
-372490,-372490,4,3024,41.3871,2.17001,41.3871,2.17001,0
